Nome,total (1000 pessoas),Nível de ocupação das pessoas de 14 anos de idade ou mais (%),Taxa de desocupação das pessoas de 14 anos de idade ou mais (%),"Proporção de pessoas com rendimento domiciliar per capita abaixo de US$ 6,85 PPC 2017 (%)",Proporção de pessoas vivendo em domicílios com esgotamento por rede coletora ou pluvial (%),Proporção de pessoas vivendo em domicílios com máquina de lavar roupa (%),Proporção de pessoas vivendo em domicílios com acesso à Internet (%),"Proporção de pessoas de 18 a 29 anos de idade com no mínimo 12 anos de
estudo (%)",Ano
Santana,128.16400002044975,51.345699038027185,20.49750098071844,46.203401035122994,3.6342253200795906,81.32217561858221,91.85685951420481,74.37051714312881,2023
Amapa exceto Macapá e Santana,230.65900198365983,43.29970677252202,19.633528849886382,52.77450254275519,19.540433479644967,86.36526300925486,79.8249995561993,53.97242571101968,2023
Palmas,327.08100001031954,70.34039806843165,5.0357922101612225,13.853980974969526,83.22360361399804,79.7716119115287,98.99828821911449,88.55446610461217,2023
Norte do Tocantins,666.8557721521014,54.96715647381899,6.94354533702781,35.7490485091408,18.036649485612603,48.97023973287069,88.626911499392,67.51236659471799,2023
Centro-Sul do Tocantins,633.0222278825886,59.791625044203826,5.162628612690116,28.685008431090694,22.853429142905547,56.54652375611052,90.48408151825066,71.26987964180474,2023
São Luís,1128.7890000233579,55.93069671636864,10.386098342289747,34.62209582108808,69.12795082788996,65.25917933037212,95.96774769831787,86.01907876191457,2023
Entorno metropolitano de São Luís,366.507000004661,41.300413688269536,8.22329065169784,54.807870149442266,55.13719500525254,45.605699327160195,93.86236235488725,77.66330986934642,2023
Entorno metropolitano de Teresina no Maranhão,173.30400000434994,54.11960533111135,3.2209257677383025,45.290764366743424,56.17024142624913,45.196534479091106,84.99970177465177,76.29902963976637,2023
Centro-Oeste Maranhense,1301.4327530200233,46.52151849334289,7.686936819073748,55.75599504908811,9.632214453078346,23.2581486743735,86.60333993872065,63.532736944577195,2023
Leste Maranhense,1682.3498761101762,40.99253364732047,9.465940640528549,61.04938639950962,17.707778974257764,26.32522091624668,83.35907975144885,54.837848226785034,2023
Centro-Sul Maranhense,1294.1866390950188,53.58405012234743,6.000274039854454,35.99229403094189,24.113209423559613,44.962314741785626,88.94676739977827,69.68452753037835,2023
Litoral e Baixada Maranhense,1245.7807319381932,38.881441305108666,5.700638208190691,63.820706722055505,6.08520804029908,17.58171389377498,75.90553655679837,60.91198535479384,2023
Teresina,876.6070000133095,56.87950702705946,6.915086464831527,28.07458523829182,18.057279189080873,58.32163299248107,95.92118394540542,86.04269526171684,2023
Entorno metropolitano de Teresina no Piauí,191.23500000253014,44.913510054719325,8.208735393134855,47.95554007068631,12.883210318343435,30.12952897202279,80.8398213447511,72.0605974070381,2023
Centro-Leste do Piauí,783.5788702445379,44.05247677190827,10.351840069385284,51.67092881280918,8.32902637800099,23.185732629808026,84.74262676146806,65.3606354510042,2023
Baixo Parnaíba do Piauí,906.4913903410292,42.77462173945412,11.816715171959096,52.50258005371547,8.620478478037302,27.6721579719536,87.63162583759556,61.87969762987096,2023
Alto Parnaíba e Chapadas Sul do Piauí,544.6067394552185,46.52410431693662,11.992922915146385,51.183210092406306,18.949395519938353,26.85663087496486,87.32103344543225,59.1950869349986,2023
Fortaleza,2726.4540000560946,54.74625771889801,8.668314036228466,36.15054019418718,83.10554842579883,68.17757057826853,92.26639549942122,76.51940332806596,2023
Entorno metropolitano de Fortaleza,1357.2760000252977,52.91824697117281,8.729804476956275,50.2452445912018,60.79631720425244,49.596022589694556,91.77092414135099,75.91311677774279,2023
Sul do Ceará,1333.266801758073,45.12039959725029,8.891783504593835,51.7030784732957,46.18488440867642,31.13547585151793,89.63215812420836,72.89704618690737,2023
Sertões do Ceará,1039.5179006535307,45.38161338183258,6.23536644322041,52.02417657487816,43.983041499083534,28.092456628918953,91.3241064569107,71.78183599556812,2023
Litoral Ocidental e Norte do Ceará,1987.145357002735,42.76555082867973,9.607016322130862,61.140400490376905,36.614201657806,30.4823956302776,87.5565891943348,67.52952706033928,2023
Litoral Oriental e Vale do Rio Jaguaribe,895.6399406865295,48.844229180906495,7.328456614710512,48.858528273718726,32.59879289568061,40.90814671924555,90.67192648141811,75.70063423350307,2023
Natal,908.6680000187209,49.690029206239366,10.799538842297476,32.01140794240555,60.83409769997851,75.32603888864335,95.83181710316602,74.94370732507242,2023
Entorno metropolitano de Natal,690.097000010569,50.46844232152317,13.92489970428001,48.71496569104504,14.853676053127348,55.153147538889634,88.24454051304603,62.30530511333631,2023
Agreste do Rio Grande do Norte,514.1997728850398,37.56191144930871,11.185045464512477,56.2106699713516,13.129238677031314,34.174426830098355,84.47443823835971,56.39463781892215,2023
Oeste do Rio Grande do Norte,967.248393768358,44.170528087534755,7.661881563335098,45.287578678894434,35.44533299601264,35.718512450794215,93.90850034723913,60.925120453151436,2023
Central do Rio Grande do Norte,532.0668334180102,49.494959458567955,11.057310417622583,40.86865861097464,59.99485149326815,53.17215088174737,91.98028618514194,63.85011484945603,2023
João Pessoa,841.5790000152741,56.882626754490815,9.378002931404152,29.373138411033853,71.02747684759402,76.60126915506119,96.0667057534957,70.53649305542149,2023
Zona da Mata da Paraíba,520.9090000079801,45.737906759496425,13.99572640156193,56.12362477345217,24.174413173619744,45.87606315271747,91.43265082938733,63.89993233604944,2023
Agreste da Paraíba,605.0270476331393,42.07866931977331,7.733693474667701,53.86791765705821,32.01951351896855,31.241447712774384,87.39808208534987,58.540882420155135,2023
Borborema e Agreste Central da Paraíba,1203.7364368109677,47.40742997080119,10.31069909611003,49.97030683691023,60.11751542669816,26.755704089678286,89.40293214237754,62.569747986868826,2023
Sertão da Paraíba,905.9545156085754,44.05092280104314,6.9812424158234325,51.538965436575104,55.64809124235051,24.80606505785164,91.24131939805419,59.83447023102514,2023
Recife,1675.4840000335796,52.49906853555404,16.130093038693236,37.16219274957095,72.27992493272681,61.86199169216631,94.08058837495827,83.82654754485274,2023
Entorno metropolitano de Recife,2416.339000038281,46.895256208005875,17.775452495813617,42.05896141639327,62.33102449543968,56.7575803819066,90.77543058324129,78.82436203652293,2023
Sertão de Pernambuco,1727.8495864913918,43.34263643603727,11.838697018673752,52.36986815479363,65.51681920043852,28.361488791962937,89.35115342673971,69.26654704683537,2023
Mata de Pernambuco,1387.5258651103986,48.80844813104587,10.850565301748993,48.79782609131679,54.76927935692909,41.12581969905385,91.4442818231748,68.2352793258625,2023
Agreste de Pernambuco,2519.8315485202147,45.84578089832781,8.879678994556754,55.452547286720716,63.58375792275263,34.187883855761264,85.65920423618167,59.53805133741861,2023
Maceió,1043.621000018858,55.85156560427341,9.95061212834078,33.07475592097905,61.49922175162641,61.66290129110015,95.4219344491484,70.63475568879741,2023
Entorno metropolitano de Maceió,250.08400000409014,53.380537961973225,7.544494578949434,38.05641193280392,49.32942099894931,46.999624540965286,94.38690127384756,56.49463895775568,2023
Litoral Norte e Mata de Alagoas,456.90619217912223,41.107560856494445,8.393479257284175,57.98292133142317,50.11071876499128,22.039039257770273,86.80031856763729,57.015891152111664,2023
Litoral Sul e Agreste de Alagoas,621.9780303056294,40.96781012832666,11.601352768595051,55.3615782775779,38.33452514050025,35.95899959031969,90.85969830157438,59.95335423447044,2023
Sertão de Alagoas,1011.7197775565468,43.090507363635275,7.5046873058670345,50.87106399456292,21.470997059566628,22.926715102220697,87.0303046869691,60.06597247065662,2023
Aracaju,687.4230000142587,54.412506704993305,12.851585319459137,29.7265304584818,89.2799424841298,68.30567225484428,96.2228838933321,76.24571275261954,2023
Entorno metropolitano de Aracaju,318.0560000048094,54.21685574284586,12.156819191403178,37.04761292725129,58.193603241354126,51.60837407406495,94.08652071948809,62.47845132029351,2023
